estacion,duracion_min,Tr_anios,I_oficial_mmh,I_plataforma_mmh
CANTERAS_-_AUT_23087210,10,25,230.06,217.2
CANTERAS_-_AUT_23087210,20,25,156.05,182.4
CANTERAS_-_AUT_23087210,30,25,124.35,162.6
CANTERAS_-_AUT_23087210,60,25,84.35,110.8
CANTERAS_-_AUT_23087210,120,25,57.21,75.0
CANTERAS_-_AUT_23087210,180,25,45.59,54.9
CANTERAS_-_AUT_23087210,360,25,30.93,28.3
CANTERAS_-_AUT_23087210,10,50,267.96,250.2
CANTERAS_-_AUT_23087210,20,50,181.76,210.3
CANTERAS_-_AUT_23087210,30,50,144.84,188.0
CANTERAS_-_AUT_23087210,60,50,98.24,128.0
CANTERAS_-_AUT_23087210,120,50,66.64,87.4
CANTERAS_-_AUT_23087210,180,50,53.1,64.1
CANTERAS_-_AUT_23087210,360,50,36.02,33.1
CANTERAS_-_AUT_23087210,10,100,312.1,282.6
CANTERAS_-_AUT_23087210,20,100,211.7,237.9
CANTERAS_-_AUT_23087210,30,100,168.7,213.2
CANTERAS_-_AUT_23087210,60,100,114.43,145.1
CANTERAS_-_AUT_23087210,120,100,77.62,99.7
CANTERAS_-_AUT_23087210,180,100,61.85,73.3
CANTERAS_-_AUT_23087210,360,100,41.95,37.8
IDEAM_BOGOTA_-_AUT_21206960,10,2,67.05,68.4
IDEAM_BOGOTA_-_AUT_21206960,20,2,46.11,59.1
IDEAM_BOGOTA_-_AUT_21206960,30,2,37.05,49.8
IDEAM_BOGOTA_-_AUT_21206960,60,2,25.48,25.8
IDEAM_BOGOTA_-_AUT_21206960,120,2,17.52,14.6
IDEAM_BOGOTA_-_AUT_21206960,180,2,14.08,9.4
IDEAM_BOGOTA_-_AUT_21206960,360,2,9.68,5.1
IDEAM_BOGOTA_-_AUT_21206960,10,5,81.28,90.6
IDEAM_BOGOTA_-_AUT_21206960,20,5,55.9,69.9
IDEAM_BOGOTA_-_AUT_21206960,30,5,44.91,57.8
IDEAM_BOGOTA_-_AUT_21206960,60,5,30.89,31.3
IDEAM_BOGOTA_-_AUT_21206960,120,5,21.24,17.8
IDEAM_BOGOTA_-_AUT_21206960,180,5,17.07,11.7
IDEAM_BOGOTA_-_AUT_21206960,360,5,11.74,6.5
IDEAM_BOGOTA_-_AUT_21206960,10,10,94.01,105.0
IDEAM_BOGOTA_-_AUT_21206960,20,10,64.66,74.4
IDEAM_BOGOTA_-_AUT_21206960,30,10,51.94,60.4
IDEAM_BOGOTA_-_AUT_21206960,60,10,35.73,34.9
IDEAM_BOGOTA_-_AUT_21206960,120,10,24.57,19.2
IDEAM_BOGOTA_-_AUT_21206960,180,10,19.74,13.3
IDEAM_BOGOTA_-_AUT_21206960,360,10,13.58,7.4
IDEAM_BOGOTA_-_AUT_21206960,10,25,113.96,123.6
IDEAM_BOGOTA_-_AUT_21206960,20,25,78.38,78.0
IDEAM_BOGOTA_-_AUT_21206960,30,25,62.96,62.0
IDEAM_BOGOTA_-_AUT_21206960,60,25,43.31,39.5
IDEAM_BOGOTA_-_AUT_21206960,120,25,29.78,20.6
IDEAM_BOGOTA_-_AUT_21206960,180,25,23.93,15.3
IDEAM_BOGOTA_-_AUT_21206960,360,25,16.46,8.5
IDEAM_BOGOTA_-_AUT_21206960,10,50,131.81,137.4
IDEAM_BOGOTA_-_AUT_21206960,20,50,90.66,79.8
IDEAM_BOGOTA_-_AUT_21206960,30,50,72.83,62.6
IDEAM_BOGOTA_-_AUT_21206960,60,50,50.09,42.9
IDEAM_BOGOTA_-_AUT_21206960,120,50,34.45,21.4
IDEAM_BOGOTA_-_AUT_21206960,180,50,27.68,16.7
IDEAM_BOGOTA_-_AUT_21206960,360,50,19.04,9.4
IDEAM_BOGOTA_-_AUT_21206960,10,100,152.47,151.2
IDEAM_BOGOTA_-_AUT_21206960,20,100,104.86,81.0
IDEAM_BOGOTA_-_AUT_21206960,30,100,84.24,62.8
IDEAM_BOGOTA_-_AUT_21206960,60,100,57.94,46.3
IDEAM_BOGOTA_-_AUT_21206960,120,100,39.85,21.9
IDEAM_BOGOTA_-_AUT_21206960,180,100,32.01,18.2
IDEAM_BOGOTA_-_AUT_21206960,360,100,22.02,10.3
INZA_-_AUT_21055070,10,2,95.13,78.0
INZA_-_AUT_21055070,20,2,60.07,63.9
INZA_-_AUT_21055070,30,2,45.85,55.8
INZA_-_AUT_21055070,60,2,28.86,36.3
INZA_-_AUT_21055070,10,5,116.37,90.6
INZA_-_AUT_21055070,20,5,73.48,78.0
INZA_-_AUT_21055070,30,5,56.09,67.8
INZA_-_AUT_21055070,60,5,35.31,45.3
INZA_-_AUT_21055070,10,10,135.54,93.0
INZA_-_AUT_21055070,20,10,85.59,81.6
INZA_-_AUT_21055070,30,10,65.33,70.8
INZA_-_AUT_21055070,60,10,41.12,47.7
INZA_-_AUT_21055070,10,25,165.82,94.2
INZA_-_AUT_21055070,20,25,104.7,83.7
INZA_-_AUT_21055070,30,25,79.92,72.4
INZA_-_AUT_21055070,60,25,50.31,49.2
INZA_-_AUT_21055070,10,50,193.13,94.8
INZA_-_AUT_21055070,20,50,121.95,84.3
INZA_-_AUT_21055070,30,50,93.08,72.8
INZA_-_AUT_21055070,60,50,58.59,49.7
INZA_-_AUT_21055070,10,100,224.95,94.8
INZA_-_AUT_21055070,20,100,142.04,84.6
INZA_-_AUT_21055070,30,100,108.42,73.0
INZA_-_AUT_21055070,60,100,68.25,49.9
LA_PLATA_-_AUT_21115170,10,2,40.31,65.4
LA_PLATA_-_AUT_21115170,20,2,28.54,45.6
LA_PLATA_-_AUT_21115170,30,2,23.24,36.4
